A001ABANO TERME                                       PD35031D3AB
A116ALA                                               TN38061E1AC
A115ALA' DEI SARDI                                    SS07020V3AC
A117ALA DI STURA                                      TO10070A1AE
A118ALAGNA                                            PV27020C7AB
A119ALAGNA VALSESIA                                   VC13021A6AD
A120ALANNO                                            PE65020N3AC
A121ALANO DI PIAVE                                    BL32031D2AC
A122ALASSIO                                           SV17021G4AB
A123ALATRI                                            FR03011M2AD
A124ALBA                                              CN12051A4AD
A125ALBA ADRIATICA                                    TE64011N4AB
A126ALBAGIARA                                         OR09090V4AD
A127ALBAIRATE                                         MI20080C1AH
A128ALBANELLA                                         SA84044Q5AD
A131ALBANO DI LUCANIA                                 PZ85010S1AD
A132ALBANO LAZIALE                                    RM00041M1AD
A129ALBANO SANT'ALESSANDRO                            BG00000C2AD
A130ALBANO VERCELLESE                                 VC13030A6AE
A134ALBAREDO ARNABOLDI                                PV27043C7AC
A137ALBAREDO D'ADIGE                                  VR37041D6AC
A135ALBAREDO PER SAN MARCO                            SO00000C8AC
A138ALBARETO                                          PR43051H5AB
A139ALBARETTO DELLA TORRE                             CN12050A4AE
A143ALBAVILLA                                         CO22031C4AH
A145ALBENGA                                           SV17031G4AC
A146ALBERA LIGURE                                     AL15060A2AC
A149ALBEROBELLO                                       BA70011R1AD
A150ALBERONA                                          FG71031R3AC
A153ALBESE CON CASSANO                                CO22032C4AJ
A154ALBETTONE                                         VI36020D7AC
A155ALBI                                              CZ88050T2AC
A158ALBIANO                                           TN38041E1AD
A157ALBIANO D'IVREA                                   TO10010A1AF
A159ALBIATE                                           MI20042C1AI
A160ALBIDONA                                          CS87070T3AH
A161ALBIGNASEGO                                       PD35020D3AD
A162ALBINEA                                           RE42020H8AB
A163ALBINO                                            BG24021C2AF
A164ALBIOLO                                           CO22070C4AK
A166ALBISOLA SUPERIORE                                SV17013G4AE
A165ALBISSOLA MARINA                                  SV00000G4AK
A167ALBIZZATE                                         VA21041C9AD
A171ALBONESE                                          PV27020C7AD
A172ALBOSAGGIA                                        SO23100C8AD
A173ALBUGNANO                                         AT14020A3AC
A175ALBUZZANO                                         PV27010C7AE
A176ALCAMO                                            TP91011U9AB
A177ALCARA LI FUSI                                    ME98070U6AB
A178ALDENO                                            TN38060E1AE
A179ALDINO                                            BZ39040E2AE
A179ALDEIN                                            BZ39040E2AE
A180ALES                                              OR09091V4AE
A182ALESSANDRIA                                       AL15100A2AA
A183ALESSANDRIA DEL CARRETTO                          CS87070T3AI
A181ALESSANDRIA DELLA ROCCA                           AG92010U2AB
A184ALESSANO                                          LE73031R4AC
A185ALEZIO                                            LE73011R4AD
A186ALFANO                                            SA84040Q5AE
A187ALFEDENA                                          AQ67030N1AD
A188ALFIANELLO                                        BS25020C3AG
A189ALFIANO NATTA                                     AL15021A2AD
A191ALFONSINE                                         RA48011H7AB
A192ALGHERO                                           SS07041V3AD
A193ALGUA                                             BG24010C2AG
A194ALI'                                              ME98020U6AC
A195ALIA                                              PA90021U1AB
A196ALIANO                                            MT75010S2AC
A197ALICE BEL COLLE                                   AL15010A2AE
A198ALICE CASTELLO                                    VC13040A6AF
A199ALICE SUPERIORE                                   TO10010A1AG
A200ALIFE                                             CE81011Q4AE
A202ALIMENA                                           PA90020U1AC
A203ALIMINUSA                                         PA90020U1AD
A201ALI' TERME                                        ME98021U6AD
A204ALLAI                                             OR09080V4AF
A206ALLEGHE                                           BL32022D2AD
A205ALLEIN                                            AO11019B1AD
A207ALLERONA                                          TR05011L2AC
A208ALLISTE                                           LE73040R4AE
A210ALLUMIERE                                         RM00051M1AE
A211ALLUVIONI CAMBIO'                                 AL15040A2AF
A214ALME'                                             BG24011C2AH
A216ALMENNO SAN BARTOLOMEO                            BG00000C2AJ
A217ALMENNO SAN SALVATORE                             BG00000C2AK
A218ALMESE                                            TO10040A1AH
A220ALONTE                                            VI36040D7AD
A221ALPETTE                                           TO10080A1AI
A222ALPIGNANO                                         TO10091A1AJ
A223ALSENO                                            PC29010H6AC
A224ALSERIO                                           CO22040C4AM
A225ALTAMURA                                          BA70022R1AE
A226ALTARE                                            SV17041G4AF
A228ALTAVILLA IRPINA                                  AV83011Q2AC
A229ALTAVILLA MILICIA                                 PA90010U1AE
A227ALTAVILLA MONFERRATO                              AL15041A2AG
A230ALTAVILLA SILENTINA                               SA84045Q5AF
A231ALTAVILLA VICENTINA                               VI36077D7AE
A233ALTIDONA                                          AP63030K2AE
A234ALTILIA                                           CS87040T3AJ
A235ALTINO                                            CH66040N2AB
A236ALTISSIMO                                         VI36070D7AF
A237ALTIVOLE                                          TV31030D5AC
A238ALTO                                              CN12070A4AH
A239ALTOFONTE                                         PA90030U1AF
A240ALTOMONTE                                         CS87042T3AK
A241ALTOPASCIO                                        LU55011I5AB
A242ALVIANO                                           TR05020L2AD
A243ALVIGNANO                                         CE81012Q4AF
A244ALVITO                                            FR03041M2AE
A246ALZANO LOMBARDO                                   BG24022C2AL
A249ALZATE BRIANZA                                    CO22040C4AN
A251AMALFI                                            SA84011Q5AG
A252AMANDOLA                                          AP63021K2AF
A253AMANTEA                                           CS87032T3AL
A254AMARO                                             UD33020F6AC
A255AMARONI                                           CZ88050T2AD
A256AMASENO                                           FR03021M2AF
A257AMATO                                             CZ88040T2AE
A258AMATRICE                                          RI02012M4AC
A259AMBIVERE                                          BG24030C2AP
A260AMBLAR                                            TN38010E1AG
A261AMEGLIA                                           SP19031G3AB
A262AMELIA                                            TR05022L2AE
A263AMENDOLARA                                        CS87071T3AM
A264AMENO                                             NO28010A5AJ
A265AMOROSI                                           BN82031Q3AC
A267AMPEZZO                                           UD33021F6AD
A268ANACAPRI                                          NA80071Q1AE
A269ANAGNI                                            FR03012M2AG
A270ANCARANO                                          TE64010N4AC
A271ANCONA                                            AN60100K1AA
A272ANDALI                                            CZ88050T2AF
A274ANDALO                                            TN38010E1AH
A273ANDALO VALTELLINO                                 SO23014C8AE
A275ANDEZENO                                          TO10020A1AK
A278ANDORA                                            SV17020G4AG
A281ANDRANO                                           LE73032R4AF
A282ANDRATE                                           TO10010A1AL
A283ANDREIS                                           PN33080F5AB
A284ANDRETTA                                          AV83040Q2AD
A285ANDRIA                                            BA70031R1AF
A286ANDRIANO                                          BZ39010E2AG
A286ANDRIAN                                           BZ39010E2AG
A287ANELA                                             SS07010V3AE
A288ANFO                                              BS25070C3AI
A290ANGERA                                            VA21021C9AE
A291ANGHIARI                                          AR52031I2AB
A292ANGIARI                                           VR37050D6AD
A293ANGOLO TERME                                      BS25040C3AK
A294ANGRI                                             SA84012Q5AH
A295ANGROGNA                                          TO10060A1AM
A297ANGUILLARA SABAZIA                                RM00061M1AF
A296ANGUILLARA VENETA                                 PD35022D3AE
A299ANNICCO                                           CR26021C5AG
A302ANNONE VENETO                                     VE30020D1AB
A303ANOIA                                             RC89020T1AD
A304ANTEGNATE                                         BG24051C2AQ
A306ANTERIVO                                          BZ39040E2AH
A306ALTREI                                            BZ39040E2AH
A305ANTEY-SAINT-ANDRE'                                AO00000B1AE
A309ANTICOLI CORRADO                                  RM00022M1AG
A312ANTIGNANO                                         AT14010A3AD
A313ANTILLO                                           ME98030U6AE
A314ANTONIMINA                                        RC89040T1AE
A315ANTRODOCO                                         RI02013M4AD
A318ANVERSA DEGLI ABRUZZI                             AQ67030N1AE
A319ANZANO DEL PARCO                                  CO22040C4AQ
A320ANZANO DI PUGLIA                                  FG71020R3AD
A321ANZI                                              PZ85010S1AE
A323ANZIO                                             RM00042M1AI
A324ANZOLA DELL'EMILIA                                BO40011H1AB
A326AOSTA                                             AO11100B1AA
A327APECCHIO                                          PS61042K4AC
A328APICE                                             BN82021Q3AD
A329APIRO                                             MC62021K3AC
A330APOLLOSA                                          BN82010Q3AE
A333APPIANO GENTILE                                   CO22070C4AR
A332APPIANO SULLA STRADA DEL VINO                     BZ39057E2AJ
A332EPPAN AN DER WEINSTRASSE                          BZ39057E2AJ
A334APPIGNANO                                         MC62010K3AD
A335APPIGNANO DEL TRONTO                              AP63042K2AG
A337APRICA                                            SO23031C8AF
A338APRICALE                                          IM18030G2AC
A339APRICENA                                          FG71011R3AE
A340APRIGLIANO                                        CS87051T3AN
A341APRILIA                                           LT04011M3AB
A343AQUARA                                            SA84020Q5AI
A344AQUILA D'ARROSCIA                                 IM18028G2AD
A346AQUILEIA                                          UD33051F6AE
A347AQUILONIA                                         AV83041Q2AE
A348AQUINO                                            FR03031M2AI
A350ARADEO                                            LE73040R4AG
A351ARAGONA                                           AG92021U2AC
A352ARAMENGO                                          AT14020A3AE
A354ARBA                                              PN33090F5AC
A357ARBOREA                                           OR09092V4AG
A358ARBORIO                                           VC13031A6AJ
A359ARBUS                                             CA09031V1AH
A360ARCADE                                            TV31030D5AD
A363ARCE                                              FR03032M2AJ
A365ARCENE                                            BG24040C2AR
A366ARCEVIA                                           AN60011K1AC
A367ARCHI                                             CH66040N2AC
A369ARCIDOSSO                                         GR58031I3AB
A370ARCINAZZO ROMANO                                  RM00020M1AJ
A371ARCISATE                                          VA21051C9AG
A372ARCO                                              TN38062E1AJ
A373ARCOLA                                            SP19021G3AC
A374ARCOLE                                            VR37040D6AE
A375ARCONATE                                          MI20020C1AM
A376ARCORE                                            MI20043C1AN
A377ARCUGNANO                                         VI36057D7AG
A379ARDARA                                            SS07010V3AF
A380ARDAULI                                           OR09081V4AH
M213ARDEA                                             RM00040M1FY
A382ARDENNO                                           SO23011C8AG
A383ARDESIO                                           BG24020C2AS
A385ARDORE                                            RC89031T1AF
A387ARENA PO                                          PV27040C7AF
A388ARENZANO                                          GE16011G1AC
A389ARESE                                             MI20020C1AP
A390AREZZO                                            AR52100I2AA
A391ARGEGNO                                           CO22010C4AT
A392ARGELATO                                          BO40050H1AC
A393ARGENTA                                           FE44011H2AB
A394ARGENTERA                                         CN12010A4AJ
A396ARGUELLO                                          CN12050A4AK
A397ARGUSTO                                           CZ88060T2AH
A398ARI                                               CH66010N2AD
A399ARIANO IRPINO                                     AV83031Q2AF
A400ARIANO NEL POLESINE                               RO45012D4AC
A401ARICCIA                                           RM00040M1AK
A402ARIELLI                                           CH66030N2AE
A403ARIENZO                                           CE81021Q4AG
A405ARIGNANO                                          TO10020A1AP
A407ARITZO                                            NU08031V2AC
A412ARLENA DI CASTRO                                  VT01010M5AC
A413ARLUNO                                            MI20010C1AQ
A414ARMENO                                            NO28011A5AT
A415ARMENTO                                           PZ85010S1AF
A418ARMO                                              IM18026G2AE
A419ARMUNGIA                                          CA09040V1AL
A424ARNAD                                             AO11020B1AF
A421ARNARA                                            FR03020M2AK
A422ARNASCO                                           SV17032G4AH
A425ARNESANO                                          LE73010R4AH
A429ARONA                                             NO28041A5AV
A430AROSIO                                            CO22060C4AU
A431ARPAIA                                            BN82012Q3AF
A432ARPAISE                                           BN82010Q3AG
A433ARPINO                                            FR03033M2AL
A434ARQUA' PETRARCA                                   PD35032D3AF
A435ARQUA' POLESINE                                   RO45031D4AD
A437ARQUATA DEL TRONTO                                AP63043K2AH
A436ARQUATA SCRIVIA                                   AL15061A2AJ
A438ARRE                                              PD35020D3AG
A439ARRONE                                            TR05031L2AF
A441ARSAGO SEPRIO                                     VA21010C9AL
A443ARSIE'                                            BL32030D2AF
A444ARSIERO                                           VI36011D7AH
A445ARSITA                                            TE64031N4AD
A446ARSOLI                                            RM00023M1AM
A447ARTA TERME                                        UD33022F6AF
A448ARTEGNA                                           UD33011F6AG
A449ARTENA                                            RM00031M1AN
A451ARTOGNE                                           BS25040C3AM
A452ARVIER                                            AO11011B1AG
A453ARZACHENA                                         SS07021V3AG
A440ARZAGO D'ADDA                                     BG24040C2AT
A454ARZANA                                            NU08040V2AD
A455ARZANO                                            NA80022Q1AF
A456ARZENE                                            PN33090F5AD
A458ARZERGRANDE                                       PD35020D3AH
A459ARZIGNANO                                         VI36071D7AI
A460ASCEA                                             SA84046Q5AJ
A461ASCIANO                                           SI53041I9AC
A462ASCOLI PICENO                                     AP63100K2AA
A463ASCOLI SATRIANO                                   FG71022R3AF
A464ASCREA                                            RI02020M4AE
A465ASIAGO                                            VI36012D7AJ
A467ASIGLIANO VENETO                                  VI36020D7AK
A466ASIGLIANO VERCELLESE                              VC13032A6AK
A470ASOLA                                             MN46041C6AC
A471ASOLO                                             TV31011D5AE
A473ASSAGO                                            MI20094C1AT
A474ASSEMINI                                          CA09032V1AM
A475ASSISI                                            PG06081L1AB
A476ASSO                                              CO22033C4AW
A477ASSOLO                                            OR09080V4AI
A478ASSORO                                            EN94010U5AD
A479ASTI                                              AT14100A3AA
A480ASUNI                                             OR09080V4AJ
A481ATELETA                                           AQ67030N1AG
A482ATELLA                                            PZ85020S1AG
A484ATENA LUCANA                                      SA84030Q5AK
A485ATESSA                                            CH66041N2AF
A486ATINA                                             FR03042M2AM
A488ATRI                                              TE64032N4AE
A489ATRIPALDA                                         AV83042Q2AG
A490ATTIGLIANO                                        TR05012L2AG
A491ATTIMIS                                           UD33040F6AH
A492ATZARA                                            NU08030V2AE
A493AUDITORE                                          PS61020K4AD
A494AUGUSTA                                           SR96011U8AB
A495AULETTA                                           SA84031Q5AM
A496AULLA                                             MS54011I6AD
A499AURIGO                                            IM18021G2AG
A501AURONZO DI CADORE                                 BL32041D2AG
A502AUSONIA                                           FR03040M2AN
A503AUSTIS                                            NU08030V2AF
A506AVEGNO                                            GE16030G1AD
A507AVELENGO                                          BZ39010E2AK
A507HAFLING                                           BZ39010E2AK
A508AVELLA                                            AV83021Q2AH
A509AVELLINO                                          AV83100Q2AA
A511AVERARA                                           BG24010C2AU
A512AVERSA                                            CE81031Q4AJ
A514AVETRANA                                          TA74020R5AB
A515AVEZZANO                                          AQ67051N1AH
A516AVIANO                                            PN33081F5AE
A517AVIATICO                                          BG24020C2AV
A518AVIGLIANA                                         TO10051A1AQ
A519AVIGLIANO                                         PZ85021S1AH
M258AVIGLIANO UMBRO                                   TR05020L2BP
A520AVIO                                              TN38063E1AM
A521AVISE                                             AO11010B1AH
A522AVOLA                                             SR96012U8AC
A523AVOLASCA                                          AL15050A2AK
A094AYAS                                              AO11020B1AB
A108AYMAVILLES                                        AO11010B1AC
A525AZEGLIO                                           TO10010A1AS
A526AZZANELLO                                         CR26010C5AI
A527AZZANO D'ASTI                                     AT14030A3AF
A530AZZANO DECIMO                                     PN33082F5AF
A529AZZANO MELLA                                      BS25020C3AP
A528AZZANO SAN PAOLO                                  BG00000C2AW
A531AZZATE                                            VA21022C9AM
A532AZZIO                                             VA21030C9AN
A533AZZONE                                            BG24020C2AX
A535BACOLI                                            NA80070Q1AG
A536BADALUCCO                                         IM18010G2AH
M214BADESI                                            SS07030V3DL
A537BADIA                                             BZ39036E2AL
A537ABTEI                                             BZ39036E2AL
A540BADIA CALAVENA                                    VR37030D6AG
A538BADIA PAVESE                                      PV27017C7AH
A539BADIA POLESINE                                    RO45021D4AE
A541BADIA TEDALDA                                     AR52032I2AC
A542BADOLATO                                          CZ88061T2AI
A544BAGALADI                                          RC89060T1AG
A546BAGHERIA                                          PA90011U1AG
A547BAGNACAVALLO                                      RA48012H7AC
A552BAGNARA CALABRA                                   RC89011T1AH
A551BAGNARA DI ROMAGNA                                RA48010H7AD
A553BAGNARIA ARSA                                     UD33050F6AJ
A555BAGNASCO                                          CN12071A4AL
A557BAGNATICA                                         BG24060C2AY
A560BAGNI DI LUCCA                                    LU55022I5AC
A564BAGNO A RIPOLI                                    FI50012I1AB
A565BAGNO DI ROMAGNA                                  FO47021H3AB
A567BAGNOLI DEL TRIGNO                                IS86091P2AD
A568BAGNOLI DI SOPRA                                  PD35023D3AI
A566BAGNOLI IRPINO                                    AV83043Q2AI
A570BAGNOLO CREMASCO                                  CR26010C5AK
A572BAGNOLO DEL SALENTO                               LE73020R4AI
A574BAGNOLO DI PO                                     RO45022D4AF
A573BAGNOLO IN PIANO                                  RE42011H8AC
A569BAGNOLO MELLA                                     BS25021C3AQ
A571BAGNOLO PIEMONTE                                  CN12031A4AM
A575BAGNOLO SAN VITO                                  MN00000C6AD
A576BAGNONE                                           MS54021I6AE
A577BAGNOREGIO                                        VT01022M5AE
A578BAGOLINO                                          BS25072C3AR
A579BAIA E LATINA                                     CE81010Q4AK
A580BAIANO                                            AV83022Q2AJ
A581BAIARDO                                           IM18031G2AI
A584BAIRO                                             TO10010A1AU
A586BAISO                                             RE42031H8AD
A587BALANGERO                                         TO10070A1AV
A588BALDICHIERI D'ASTI                                AT14011A3AG
A590BALDISSERO CANAVESE                               TO10080A1AW
A589BALDISSERO D'ALBA                                 CN12040A4AN
A591BALDISSERO TORINESE                               TO10020A1AX
A592BALESTRATE                                        PA90041U1AH
A593BALESTRINO                                        SV17020G4AI
A597BALLAO                                            CA09040V1AQ
A599BALME                                             TO10070A1AY
A600BALMUCCIA                                         VC13020A6AL
A601BALOCCO                                           VC13040A6AM
A603BALSORANO                                         AQ67052N1AJ
A604BALVANO                                           PZ85050S1AI
A605BALZOLA                                           AL15031A2AP
A606BANARI                                            SS07040V3AH
A607BANCHETTE                                         TO10010A1AZ
A612BANZI                                             PZ85010S1AJ
A613BAONE                                             PD35030D3AJ
A614BARADILI                                          OR09050V4AK
A615BARAGIANO                                         PZ85050S1AK
A616BARANELLO                                         CB86011P1AD
A617BARANO D'ISCHIA                                   NA80070Q1AH
A619BARASSO                                           VA21020C9AQ
A621BARATILI SAN PIETRO                               OR00000V4AL
A625BARBANIA                                          TO10070A1BB
A626BARBARA                                           AN60010K1AD
A628BARBARANO ROMANO                                  VT01010M5AF
A627BARBARANO VICENTINO                               VI36021D7AL
A629BARBARESCO                                        CN12050A4AP
A630BARBARIGA                                         BS25030C3AS
A631BARBATA                                           BG24040C2AZ
A632BARBERINO DI MUGELLO                              FI50031I1AC
A633BARBERINO VAL D'ELSA                              FI50021I1AD
A634BARBIANELLO                                       PV27041C7AJ
A635BARBIANO                                          BZ39040E2AM
A635BARBIAN                                           BZ39040E2AM
A637BARBONA                                           PD35040D3AK
A638BARCELLONA POZZO DI GOTTO                         ME98051U6AF
A639BARCHI                                            PS61030K4AE
A640BARCIS                                            PN33080F5AG
A643BARD                                              AO11020B1AJ
A645BARDELLO                                          VA21020C9AR
A646BARDI                                             PR43032H5AC
A647BARDINETO                                         SV17020G4AJ
A650BARDOLINO                                         VR37011D6AH
A651BARDONECCHIA                                      TO10052A1BD
A652BAREGGIO                                          MI20010C1AZ
A653BARENGO                                           NO28010A5BB
A655BARESSA                                           OR09090V4AM
A656BARETE                                            AQ67010N1AK
A657BARGA                                             LU55051I5AD
A658BARGAGLI                                          GE16021G1AE
A660BARGE                                             CN12032A4AQ
A661BARGHE                                            BS25070C3AU
A662BARI                                              BA70100R1AA
A664BARIANO                                           BG24050C2BB
A665BARICELLA                                         BO40052H1AE
A666BARILE                                            PZ85022S1AL
A663BARI SARDO                                        NU08042V2AG
A667BARISCIANO                                        AQ67021N1AL
A668BARLASSINA                                        MI20030C1BB
A669BARLETTA                                          BA70051R1AG
A670BARNI                                             CO22030C4BD
A671BAROLO                                            CN12060A4AR
A673BARONE CANAVESE                                   TO10010A1BE
A674BARONISSI                                         SA84081Q5AN
A676BARRAFRANCA                                       EN94012U5AE
A677BARRALI                                           CA09040V1AW
A678BARREA                                            AQ67030N1AM
A681BARUMINI                                          CA09051V1AX
A684BARZANA                                           BG24030C2BD
A689BASALUZZO                                         AL15060A2AQ
A690BASCAPE'                                          PV27010C7AL
A691BASCHI                                            TR05023L2AH
A692BASCIANO                                          TE64030N4AF
A694BASELGA DI PINE'                                  TN38042E1AT
A696BASELICE                                          BN82020Q3AI
A697BASIANO                                           MI20060C1BC
A698BASICO'                                           ME98060U6AG
A699BASIGLIO                                          MI20089C1BD
A700BASILIANO                                         UD33031F6AK
A702BASSANO BRESCIANO                                 BS25020C3AV
A703BASSANO DEL GRAPPA                                VI36061D7AM
A704BASSANO ROMANO                                    VT01030M5AH
A706BASSANO IN TEVERINA                               VT01030M5AI
A707BASSIANO                                          LT04010M3AC
A708BASSIGNANA                                        AL15042A2AR
A709BASTIA MONDOVI'                                   CN12060A4AS
A710BASTIA UMBRA                                      PG06083L1AC
A711BASTIDA DE' DOSSI                                 PV27050C7AN
A712BASTIDA PANCARANA                                 PV27050C7AP
A713BASTIGLIA                                         MO41030H4AB
A714BATTAGLIA TERME                                   PD35041D3AL
A716BATTIFOLLO                                        CN12070A4AT
A717BATTIPAGLIA                                       SA84091Q5AP
A718BATTUDA                                           PV27020C7AQ
A719BAUCINA                                           PA90020U1AI
A721BAULADU                                           OR09070V4AN
A722BAUNEI                                            NU08040V2AH
A726BAZZANO                                           BO40053H1AF
A728BEDERO VALCUVIA                                   VA21039C9AU
A729BEDIZZOLE                                         BS25081C3AW
A730BEDOLLO                                           TN38043E1AU
A731BEDONIA                                           PR43041H5AD
A732BEDULITA                                          BG24030C2BE
A734BEINASCO                                          TO10092A1BG
A735BEINETTE                                          CN12081A4AU
A736BELCASTRO                                         CZ88050T2AJ
A737BELFIORE                                          VR37050D6AI
A740BELFORTE ALL'ISAURO                               PS61020K4AF
A739BELFORTE DEL CHIENTI                              MC62031K3AE
A738BELFORTE MONFERRATO                               AL15070A2AS
A741BELGIOIOSO                                        PV27011C7AR
A743BELLA                                             PZ85051S1AM
A744BELLAGIO                                          CO22021C4BJ
A746BELLANTE                                          TE64020N4AG
A749BELLEGRA                                          RM00030M1AP
A750BELLINO                                           CN12020A4AV
A751BELLINZAGO LOMBARDO                               MI20060C1BE
A752BELLINZAGO NOVARESE                               NO28043A5BF
M294BELLIZZI                                          SA00000Q5GN
A755BELLONA                                           CE81041Q4AL
A756BELLOSGUARDO                                      SA84020Q5AQ
A757BELLUNO                                           BL32100D2AA
A759BELLUSCO                                          MI20040C1BF
A762BELMONTE CALABRO                                  CS87033T3AP
A763BELMONTE CASTELLO                                 FR03040M2AQ
A761BELMONTE DEL SANNIO                               IS86080P2AE
A765BELMONTE IN SABINA                                RI02020M4AG
A764BELMONTE MEZZAGNO                                 PA90031U1AJ
A760BELMONTE PICENO                                   AP63020K2AI
A766BELPASSO                                          CT95032U4AH
A768BELSITO                                           CS87030T3AQ
A774BELVEDERE LANGHE                                  CN12060A4AW
A773BELVEDERE MARITTIMO                               CS87021T3AR
A769BELVEDERE OSTRENSE                                AN60030K1AE
A770BELVEGLIO                                         AT14040A3AH
A776BELVI                                             NU08030V2AI
A777BEMA                                              SO23010C8AH
A778BENE LARIO                                        CO22010C4BM
A780BENESTARE                                         RC89030T1AI
A781BENETUTTI                                         SS07010V3AJ
A779BENE VAGIENNA                                     CN12041A4AX
A782BENEVELLO                                         CN12050A4AY
A783BENEVENTO                                         BN82100Q3AA
A785BENTIVOGLIO                                       BO40010H1AH
A786BERBENNO                                          BG24030C2BF
A787BERBENNO DI VALTELLINA                            SO23010C8AI
A788BERCETO                                           PR43042H5AE
A789BERCHIDDA                                         SS07022V3AK
A791BEREGAZZO CON FIGLIARO                            CO22070C4BN
A792BEREGUARDO                                        PV27021C7AT
A793BERGAMASCO                                        AL15022A2AT
A794BERGAMO                                           BG24100C2AA
A795BERGANTINO                                        RO45032D4AH
A796BERGEGGI                                          SV17042G4AM
A798BERGOLO                                           CN12070A4AZ
A799BERLINGO                                          BS25030C3AY
A801BERNALDA                                          MT75012S2AD
A802BERNAREGGIO                                       MI20044C1BG
A804BERNATE TICINO                                    MI20010C1BH
A805BERNEZZO                                          CN12010A4BA
A806BERRA                                             FE44033H2AC
A808BERSONE                                           TN38085E1AV
A809BERTINORO                                         FO47032H3AD
A810BERTIOLO                                          UD33032F6AL
A812BERZANO DI SAN PIETRO                             AT00000A3AI
A813BERZANO DI TORTONA                                AL15050A2AV
A816BERZO DEMO                                        BS00000C3AZ
A817BERZO INFERIORE                                   BS25040C3BA
A815BERZO SAN FERMO                                   BG00000C2BG
A818BESANA IN BRIANZA                                 MI20045C1BJ
A819BESANO                                            VA21050C9AV
A820BESATE                                            MI20080C1BK
A821BESENELLO                                         TN38060E1AW
